step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
202,PAYMENT,8732.33,C479540332,0.0,0.0,M808439854,0.0,0.0,0
231,CASH_OUT,5446.5,C534069430,66068.0,60621.5,C512450580,223166.66,228613.16,0
250,CASH_OUT,132952.16,C735910297,0.0,0.0,C966441063,179095.83,312048.0,0
325,TRANSFER,441873.5,C171987241,441873.5,0.0,C143177495,0.0,0.0,1
205,CASH_OUT,236588.62,C1609720595,0.0,0.0,C1652098016,1.6851494e+06,1.921738e+06,0
276,CASH_OUT,1.5675912e+06,C808430979,1.5675912e+06,0.0,C1601875596,822753.06,2.3903442e+06,1
168,CASH_IN,531894.1,C305823389,9.80174e+06,1.0333634e+07,C200841533,1.0892544e+06,557360.3,0
9,PAYMENT,936.5,C2017094815,117716.63,116780.14,M543285774,0.0,0.0,0
206,PAYMENT,12011.94,C1910270877,24936.0,12924.06,M478352486,0.0,0.0,0
329,PAYMENT,9303.78,C1953116388,0.0,0.0,M1932548216,0.0,0.0,0
156,CASH_OUT,170625.4,C15068458,0.0,0.0,C799435968,1.9842506e+06,2.154876e+06,0
257,CASH_OUT,93298.1,C558932072,6915.0,0.0,C201839570,74873.66,168171.77,0
274,TRANSFER,671208.5,C427620026,50372.0,0.0,C1188179057,320461.4,991669.9,0
136,CASH_OUT,170209.31,C1077442083,49935.0,0.0,C936628705,136249.36,306458.66,0
495,CASH_IN,268706.7,C1646663458,150791.0,419497.7,C1662942170,185741.23,0.0,0
332,CASH_IN,118208.69,C773562690,0.0,118208.69,C1920419568,339314.9,221106.23,0
161,CASH_OUT,204206.61,C1235661468,0.0,0.0,C1065884906,250961.55,1.2104828e+06,0
211,CASH_IN,376762.38,C799142393,3.6850418e+06,4.061804e+06,C372610339,1.1927715e+06,816009.1,0
186,CASH_OUT,203494.8,C606971732,70265.0,0.0,C881794715,0.0,203494.8,0
203,CASH_OUT,411424.44,C1603742037,0.0,0.0,C1678027903,5.8488355e+06,6.26026e+06,0
164,CASH_OUT,211910.06,C303588000,0.0,0.0,C264300738,4.417358e+06,4.6292685e+06,0
180,PAYMENT,690.17,C271622122,0.0,0.0,M1615513925,0.0,0.0,0
9,PAYMENT,8955.15,C1540379802,19887.0,10931.85,M1813136591,0.0,0.0,0
184,CASH_OUT,124621.26,C738763115,0.0,0.0,C643152776,6.1139545e+06,6.2385755e+06,0
325,TRANSFER,148718.64,C1319091112,0.0,0.0,C537528533,1.98492e+06,2.1336388e+06,0
