hour,n_transactions,n_fraud,fraud_rate
0,71587,300,0.004190705016273904
1,27111,358,0.013204972151525211
2,9018,372,0.04125083166999335
3,2007,326,0.16243148978574987
4,1241,274,0.22078968573730862
5,1641,366,0.2230347349177331
6,3420,358,0.10467836257309941
7,8988,328,0.03649310191366266
8,26915,368,0.013672673230540592
9,283518,341,0.0012027455046945872
10,425729,375,0.0008808420380100957
11,445992,324,0.0007264704299628692
12,483418,339,0.0007012564695563673
13,468474,346,0.0007385682022908422
14,439653,353,0.0008029059280841937
15,416686,341,0.0008183620280019007
16,441612,345,0.0007812287709573109
17,439941,353,0.0008023803191791627
18,580509,343,0.0005908607790749153
19,647814,342,0.0005279293130435587
20,553728,340,0.0006140198797965788
21,247806,347,0.0014002889356997006
22,194555,351,0.001804117087712986
23,141257,323,0.002286612344874944
