feature,auc
errorBalanceOrig,0.9020316629810954
oldbalanceOrg,0.7634689233576503
origZeroAfter,0.7060398988340281
newbalanceOrig,0.7060398988340281
type_TRANSFER,0.704967456137739
day,0.6898361946850393
amount,0.6831158384390437
log_amount,0.6831158384390437
hour,0.6719456586896004
type_PAYMENT,0.6688879766902158
origZeroBefore,0.6618721485872892
oldbalanceDest,0.6200816338475856
highRiskFlag,0.6140639969409933
destZeroBefore,0.6115287434468697
type_CASH_IN,0.6092822211673828
type_CASH_OUT,0.5732003108350615
errorBalanceDest,0.5706148785204747
destZeroAfter,0.555370762812494
newbalanceDest,0.5552129257609414
type_DEBIT,0.503224407112356
