learner,variant,label,pr_auc,ci_low,ci_high
logistic_regression,unweighted,A/B/C unweighted,0.5039687570139619,0.47910015068861805,0.5277864129980643
logistic_regression,weighted,D/E weighted,0.1487063069716073,0.13778889118017293,0.16291701099503014
logistic_regression,instance_weighted,F severity-weighted,0.2392930851475499,0.21768395234439392,0.2591396368847567
logistic_regression,rus,G undersampled,0.11761523436739944,0.10975723406530535,0.1271815409225776
decision_tree,unweighted,A/B/C unweighted,0.7297426212657876,0.7122078109085563,0.7512582146538145
decision_tree,weighted,D/E weighted,0.7113265927524011,0.6930521996068643,0.7340456870042418
decision_tree,instance_weighted,F severity-weighted,0.7153634575239174,0.6978704889105749,0.7377186999105736
decision_tree,rus,G undersampled,0.19354490422864157,0.18327876168847246,0.20385267865413015
random_forest,unweighted,A/B/C unweighted,0.7967497221433496,0.7780129173305415,0.8167347204204083
random_forest,weighted,D/E weighted,0.746743451938522,0.7283596156446313,0.7677071854007372
random_forest,instance_weighted,F severity-weighted,0.7547537636331109,0.7364181716539971,0.7752545346242207
random_forest,rus,G undersampled,0.7290642696601829,0.7107592187656421,0.7503727713176627
xgboost,unweighted,A/B/C unweighted,0.817257678698113,0.7986415755323519,0.8367782806909827
xgboost,weighted,D/E weighted,0.7977492432799025,0.779300182945693,0.8183892271253892
xgboost,instance_weighted,F severity-weighted,0.798192057109554,0.7801448328410835,0.8170641231869128
xgboost,rus,G undersampled,0.7416676282329409,0.7227097170874869,0.7622530747078562
