learner,arm,protocol,test_prevalence,pr_auc,roc_auc,brier,threshold,tp,fp,fn,tn,precision,recall,f1,mcc,n_flagged,alert_rate,R,ner,total_risk,recall_at_100,precision_at_100,recall_at_500,precision_at_500,recall_at_1000,precision_at_1000,recall_at_5000,precision_at_5000
logistic_regression,A,resample-then-split,0.5019168887324652,0.9956953223877453,0.9956582294762598,0.02627622896609459,0.5,77335,2696,2526,76555,0.9663130536916945,0.9683700429496249,0.9673404548069947,0.9343613326973343,80031,0.5029853185177736,773.7010836478753,0.031673589735371474,1957064.9372945328,0.0012521756552009117,1.0,0.006260878276004558,1.0,0.012521756552009116,1.0,0.06260878276004558,1.0
decision_tree,A,resample-then-split,0.5019168887324652,0.9989759606685139,0.9992864809992759,0.004302748411069523,0.5,79754,680,107,78571,0.9915458636894845,0.998660172048935,0.995090302255217,0.9901328629821767,80434,0.5055181255970637,773.7010836478753,0.0013508332276961261,83466.01595032263,0.0012521756552009117,1.0,0.006260878276004558,1.0,0.012521756552009116,1.0,0.06260878276004558,1.0
random_forest,A,resample-then-split,0.5019168887324652,0.9999982873667715,0.9999982769964392,0.001329774108415613,0.5,79857,170,4,79081,0.9978757169455309,0.999949912973792,0.9989117382167517,0.9978149839908459,80027,0.5029601789934135,773.7010836478753,5.283834536582423e-05,3264.804334591501,0.0012521756552009117,1.0,0.006260878276004558,1.0,0.012521756552009116,1.0,0.06260878276004558,1.0
xgboost,A,resample-then-split,0.5019168887324652,0.9999995500784696,0.9999995520664746,0.00021988690591332667,0.5,79861,39,0,79212,0.9995118898623279,1.0,0.9997558853537472,0.9995098912516097,79900,0.5021619990949772,773.7010836478753,6.311849832571921e-07,39.0,0.0012521756552009117,1.0,0.006260878276004558,1.0,0.012521756552009116,1.0,0.06260878276004558,1.0
logistic_regression,B,"same model, natural prevalence",0.001290847074783128,0.6540810257649083,0.989671498080787,0.03000861790422037,0.5,7488,231036,467,5923629,0.031393067364290386,0.9412947831552483,0.06075974018070505,0.1682273544144444,238524,0.03870496639416352,773.7010836478753,0.09624279658420805,592354.4060635576,0.01257071024512885,1.0,0.06285355122564425,1.0,0.12545568824638592,0.998,0.5125078566939032,0.8154
decision_tree,B,"same model, natural prevalence",0.001290847074783128,0.46428594376792626,0.9816648208035058,0.009582630670395675,0.5,7394,68460,561,6086205,0.09747673161599915,0.9294783155248272,0.17644883007791526,0.2990545203194453,75854,0.012308725834141972,773.7010836478753,0.08164472464624221,502506.307926458,0.0070395977372721555,0.56,0.040100565681961034,0.638,0.07014456316781899,0.558,0.3683218101822753,0.586
random_forest,B,"same model, natural prevalence",0.001290847074783128,0.8362198288931516,0.9970519595693557,0.0031758852003205174,0.5,7218,22538,737,6132127,0.24257292646861137,0.9073538654934004,0.38280607780223275,0.4680839634726181,29756,0.004828465814864457,773.7010836478753,0.09630799660673928,592755.698648484,0.01257071024512885,1.0,0.06285355122564425,1.0,0.1257071024512885,1.0,0.6212445003142678,0.9884
xgboost,B,"same model, natural prevalence",0.001290847074783128,0.9026183039697431,0.9963399616909374,0.0014667420106772718,0.5,7375,10902,580,6143763,0.40351261147890793,0.9270898805782527,0.5622903324184203,0.610974921647902,18277,0.0029657840334143593,773.7010836478753,0.07468142213785892,459648.62851576763,0.01257071024512885,1.0,0.06285355122564425,1.0,0.1257071024512885,1.0,0.6276555625392835,0.9986
logistic_regression,C,resample train folds only,0.0012875,0.6806424514036966,0.9938164318599031,0.03167021567722464,0.5,99,3233,4,76664,0.02971188475390156,0.9611650485436893,0.05764192139737991,0.16525044618557255,3332,0.04165,773.7010836478753,0.07940404225630303,6327.804334591501,0.6310679611650486,0.65,0.883495145631068,0.182,0.9029126213592233,0.093,0.9805825242718447,0.0202
decision_tree,C,resample train folds only,0.0012875,0.5622201287486788,0.9884613575901303,0.013445676621618358,0.5,101,1251,2,78646,0.07470414201183433,0.9805825242718447,0.13883161512027492,0.2684387198929067,1352,0.0169,773.7010836478753,0.03511556808534384,2798.4021672957506,0.5825242718446602,0.6,0.8349514563106796,0.172,0.9514563106796117,0.098,0.9805825242718447,0.0202
random_forest,C,resample train folds only,0.0012875,0.8629906080125659,0.9990270239924193,0.0032289255714783,0.5,95,310,8,79587,0.2345679012345679,0.9223300970873787,0.37401574803149606,0.4640545230659866,405,0.0050625,773.7010836478753,0.08155991780529,6499.608669183002,0.7864077669902912,0.81,0.9223300970873787,0.19,0.970873786407767,0.1,1.0,0.0206
xgboost,C,resample train folds only,0.0012875,0.9304762847700907,0.999459133731767,0.0014440899877080093,0.5,97,143,6,79754,0.4041666666666667,0.941747572815534,0.565597667638484,0.6163025954182677,240,0.003,773.7010836478753,0.06004685340914866,4785.206501887252,0.8737864077669902,0.9,0.9805825242718447,0.202,0.9805825242718447,0.101,1.0,0.0206
