R_decision,R_train,learner,variant,ner,recall,n_flagged,threshold,training_cost_ratio_varied,sweep_layer
1.0,773.7010836478753,logistic_regression,unweighted,0.6956168831168831,0.3644480519480519,523,0.4367132186889648,False,decision
1.0,773.7010836478753,logistic_regression,weighted,1.0,0.0,0,1.0000000000000002,False,decision
1.0,773.7010836478753,logistic_regression,instance_weighted,0.935064935064935,0.0827922077922077,124,0.9999542832374572,False,decision
1.0,773.7010836478753,logistic_regression,rus,1.0,0.0,0,1.0000000000000002,False,decision
1.0,773.7010836478753,decision_tree,unweighted,0.3652597402597403,0.6517857142857143,824,0.7735849022865295,False,decision
1.0,773.7010836478753,decision_tree,weighted,0.4886363636363636,0.6599025974025974,996,0.9990532994270324,False,decision
1.0,773.7010836478753,decision_tree,instance_weighted,0.4886363636363636,0.6517857142857143,976,0.9987897872924804,False,decision
1.0,773.7010836478753,decision_tree,rus,1.0,0.0,0,1.0000000000000002,False,decision
1.0,773.7010836478753,random_forest,unweighted,0.3344155844155844,0.7102272727272727,930,0.298209011554718,False,decision
1.0,773.7010836478753,random_forest,weighted,0.3871753246753247,0.6688311688311688,893,0.7846318483352661,False,decision
1.0,773.7010836478753,random_forest,instance_weighted,0.3685064935064935,0.6655844155844156,862,0.7799702882766724,False,decision
1.0,773.7010836478753,random_forest,rus,0.4334415584415584,0.6347402597402597,866,0.9641952514648438,False,decision
1.0,773.7010836478753,xgboost,unweighted,0.2792207792207792,0.737012987012987,928,0.5426599383354187,False,decision
1.0,773.7010836478753,xgboost,weighted,0.3327922077922078,0.6834415584415584,862,0.997465968132019,False,decision
1.0,773.7010836478753,xgboost,instance_weighted,0.3222402597402597,0.6996753246753247,889,0.9942241311073304,False,decision
1.0,773.7010836478753,xgboost,rus,0.4448051948051948,0.5852272727272727,758,0.9992536902427672,False,decision
10.0,773.7010836478753,logistic_regression,unweighted,0.5491883116883117,0.5081168831168831,1332,0.1125920638442039,False,decision
10.0,773.7010836478753,logistic_regression,weighted,0.6169642857142857,0.6314935064935064,3839,0.9404294490814208,False,decision
10.0,773.7010836478753,logistic_regression,instance_weighted,0.5598214285714286,0.6266233766233766,3069,0.923934280872345,False,decision
10.0,773.7010836478753,logistic_regression,rus,0.6608766233766233,0.6363636363636364,4446,0.9337974190711976,False,decision
10.0,773.7010836478753,decision_tree,unweighted,0.3202922077922078,0.7077922077922078,1218,0.0972495079040527,False,decision
10.0,773.7010836478753,decision_tree,weighted,0.3155032467532467,0.7288961038961039,1445,0.993057370185852,False,decision
10.0,773.7010836478753,decision_tree,instance_weighted,0.312987012987013,0.7321428571428571,1458,0.9924523830413818,False,decision
10.0,773.7010836478753,decision_tree,rus,0.5289772727272727,0.6753246753246753,3349,0.989130437374115,False,decision
10.0,773.7010836478753,random_forest,unweighted,0.2757305194805194,0.7386363636363636,1087,0.1363843828439712,False,decision
10.0,773.7010836478753,random_forest,weighted,0.3040584415584416,0.7215909090909091,1205,0.6048780083656311,False,decision
10.0,773.7010836478753,random_forest,instance_weighted,0.3021915584415584,0.7191558441558441,1149,0.570713222026825,False,decision
10.0,773.7010836478753,random_forest,rus,0.3295454545454545,0.7037337662337663,1277,0.9328706860542296,False,decision
10.0,773.7010836478753,xgboost,unweighted,0.242775974025974,0.7662337662337663,1055,0.1722722947597503,False,decision
10.0,773.7010836478753,xgboost,weighted,0.2595779220779221,0.7711038961038961,1328,0.954763650894165,False,decision
10.0,773.7010836478753,xgboost,instance_weighted,0.2573051948051948,0.765422077922078,1223,0.9457007646560668,False,decision
10.0,773.7010836478753,xgboost,rus,0.3229707792207792,0.7150974025974026,1350,0.9967748522758484,False,decision
50.0,773.7010836478753,logistic_regression,unweighted,0.4383603896103896,0.6363636363636364,5387,0.0212046448141336,False,decision
50.0,773.7010836478753,logistic_regression,weighted,0.3899025974025974,0.6939935064935064,6023,0.8567006587982178,False,decision
50.0,773.7010836478753,logistic_regression,instance_weighted,0.3917045454545454,0.663961038961039,4247,0.8704836368560791,False,decision
50.0,773.7010836478753,logistic_regression,rus,0.4010551948051948,0.6996753246753247,7067,0.8537518978118896,False,decision
50.0,773.7010836478753,decision_tree,unweighted,0.2714610389610389,0.7459415584415584,1991,0.0293020773679018,False,decision
50.0,773.7010836478753,decision_tree,weighted,0.2498376623376623,0.7946428571428571,3719,0.933255672454834,False,decision
50.0,773.7010836478753,decision_tree,instance_weighted,0.2456168831168831,0.788961038961039,3102,0.9400255680084229,False,decision
50.0,773.7010836478753,decision_tree,rus,0.3131818181818182,0.7589285714285714,5377,0.959999978542328,False,decision
50.0,773.7010836478753,random_forest,unweighted,0.2061038961038961,0.8189935064935064,2555,0.025100503116846,False,decision
50.0,773.7010836478753,random_forest,weighted,0.2674188311688312,0.7451298701298701,1691,0.5165370106697083,False,decision
50.0,773.7010836478753,random_forest,instance_weighted,0.251525974025974,0.7727272727272727,2446,0.3941257894039154,False,decision
50.0,773.7010836478753,random_forest,rus,0.2782305194805194,0.7751623376623377,4244,0.8502987027168274,False,decision
50.0,773.7010836478753,xgboost,unweighted,0.196737012987013,0.8238636363636364,2284,0.0201493389904499,False,decision
50.0,773.7010836478753,xgboost,weighted,0.2152272727272727,0.8027597402597403,2097,0.8821700811386108,False,decision
50.0,773.7010836478753,xgboost,instance_weighted,0.2168181818181818,0.8068181818181818,2450,0.8018990755081177,False,decision
50.0,773.7010836478753,xgboost,rus,0.2531818181818182,0.8092532467532467,4843,0.9669417142868042,False,decision
100.0,773.7010836478753,logistic_regression,unweighted,0.3833279220779221,0.6891233766233766,9775,0.0114366430789232,False,decision
100.0,773.7010836478753,logistic_regression,weighted,0.3418019480519481,0.7159090909090909,7992,0.8246356248855591,False,decision
100.0,773.7010836478753,logistic_regression,instance_weighted,0.3404951298701298,0.713474025974026,7528,0.801304280757904,False,decision
100.0,773.7010836478753,logistic_regression,rus,0.3484902597402597,0.7118506493506493,8311,0.8354166150093079,False,decision
100.0,773.7010836478753,decision_tree,unweighted,0.2486444805194805,0.7881493506493507,5504,0.0146099822595715,False,decision
100.0,773.7010836478753,decision_tree,weighted,0.2268181818181818,0.8011363636363636,4431,0.9217970371246338,False,decision
100.0,773.7010836478753,decision_tree,instance_weighted,0.2296672077922077,0.799512987012987,4580,0.8567380905151367,False,decision
100.0,773.7010836478753,decision_tree,rus,0.2771266233766233,0.7589285714285714,5377,0.959999978542328,False,decision
100.0,773.7010836478753,random_forest,unweighted,0.1932954545454545,0.8262987012987013,3432,0.015509626828134,False,decision
100.0,773.7010836478753,random_forest,weighted,0.2505357142857143,0.762987012987013,2606,0.4626705050468445,False,decision
100.0,773.7010836478753,random_forest,instance_weighted,0.2395941558441558,0.7840909090909091,3884,0.3499553203582763,False,decision
100.0,773.7010836478753,random_forest,rus,0.2487175324675324,0.7987012987012987,6826,0.8113543391227722,False,decision
