R,learner,variant,ner,recall,n_flagged,threshold
1.0,logistic_regression,unweighted,0.6956168831168831,0.36444805194805197,523,0.43671321868896484
1.0,logistic_regression,weighted,1.0,0.0,0,1.0000000000000002
1.0,logistic_regression,instance_weighted,0.935064935064935,0.08279220779220779,124,0.9999542832374573
1.0,logistic_regression,rus,1.0,0.0,0,1.0000000000000002
1.0,decision_tree,unweighted,0.3652597402597403,0.6517857142857143,824,0.7735849022865295
1.0,decision_tree,weighted,0.48863636363636365,0.6599025974025974,996,0.9990532994270325
1.0,decision_tree,instance_weighted,0.48863636363636365,0.6517857142857143,976,0.9987897872924805
1.0,decision_tree,rus,1.0,0.0,0,1.0000000000000002
1.0,random_forest,unweighted,0.3344155844155844,0.7102272727272727,930,0.298209011554718
1.0,random_forest,weighted,0.3871753246753247,0.6688311688311688,893,0.7846318483352661
1.0,random_forest,instance_weighted,0.3685064935064935,0.6655844155844156,862,0.7799702882766724
1.0,random_forest,rus,0.43344155844155846,0.6347402597402597,866,0.9641952514648438
1.0,xgboost,unweighted,0.2792207792207792,0.737012987012987,928,0.5426599383354187
1.0,xgboost,weighted,0.3327922077922078,0.6834415584415584,862,0.997465968132019
1.0,xgboost,instance_weighted,0.3222402597402597,0.6996753246753247,889,0.9942241311073303
1.0,xgboost,rus,0.4448051948051948,0.5852272727272727,758,0.9992536902427673
10.0,logistic_regression,unweighted,0.5491883116883117,0.5081168831168831,1332,0.11259206384420395
10.0,logistic_regression,weighted,0.6169642857142857,0.6314935064935064,3839,0.9404294490814209
10.0,logistic_regression,instance_weighted,0.5598214285714286,0.6266233766233766,3069,0.923934280872345
10.0,logistic_regression,rus,0.6608766233766233,0.6363636363636364,4446,0.9337974190711975
10.0,decision_tree,unweighted,0.3202922077922078,0.7077922077922078,1218,0.09724950790405273
10.0,decision_tree,weighted,0.31550324675324676,0.7288961038961039,1445,0.993057370185852
10.0,decision_tree,instance_weighted,0.312987012987013,0.7321428571428571,1458,0.9924523830413818
10.0,decision_tree,rus,0.5289772727272727,0.6753246753246753,3349,0.989130437374115
10.0,random_forest,unweighted,0.27573051948051946,0.7386363636363636,1087,0.13638438284397125
10.0,random_forest,weighted,0.3040584415584416,0.7215909090909091,1205,0.6048780083656311
10.0,random_forest,instance_weighted,0.3021915584415584,0.7191558441558441,1149,0.570713222026825
10.0,random_forest,rus,0.32954545454545453,0.7037337662337663,1277,0.9328706860542297
10.0,xgboost,unweighted,0.24277597402597403,0.7662337662337663,1055,0.17227229475975037
10.0,xgboost,weighted,0.2595779220779221,0.7711038961038961,1328,0.954763650894165
10.0,xgboost,instance_weighted,0.2573051948051948,0.765422077922078,1223,0.9457007646560669
10.0,xgboost,rus,0.3229707792207792,0.7150974025974026,1350,0.9967748522758484
50.0,logistic_regression,unweighted,0.4383603896103896,0.6363636363636364,5387,0.021204644814133644
50.0,logistic_regression,weighted,0.3899025974025974,0.6939935064935064,6023,0.8567006587982178
