learner,alerts_per_day,k_on_test,recall,precision
logistic_regression,100,464,0.3392857142857143,0.9008620689655172
logistic_regression,500,2322,0.5681818181818182,0.301464254952627
logistic_regression,1000,4644,0.627435064935065,0.16645133505598622
logistic_regression,5000,23219,0.7491883116883117,0.03975192730091735
decision_tree,100,464,0.37662337662337664,1.0
decision_tree,500,2322,0.7491883116883117,0.39750215331610683
decision_tree,1000,4644,0.7800324675324676,0.20693367786391043
decision_tree,5000,23219,0.8701298701298701,0.0461690856626039
random_forest,100,464,0.3758116883116883,0.9978448275862069
random_forest,500,2322,0.8108766233766234,0.43023255813953487
random_forest,1000,4644,0.8352272727272727,0.22157622739018087
random_forest,5000,23219,0.8952922077922078,0.0475041991472501
xgboost,100,464,0.37662337662337664,1.0
xgboost,500,2322,0.8238636363636364,0.4371231696813092
xgboost,1000,4644,0.8449675324675324,0.22416020671834624
xgboost,5000,23219,0.8920454545454546,0.04733192643955381
