learner,band,action,n_transactions,share,n_fraud,fraud_rate
logistic_regression,Low,allow,598195,0.6267799252719527,33,5.5165957589080484e-05
logistic_regression,Medium,monitor,268033,0.28084103630156937,152,0.000567094350322535
logistic_regression,High,step_up_auth,79630,0.08343514313794932,208,0.002612080874042446
logistic_regression,Critical,block,8536,0.008943895288528637,839,0.0982895970009372
decision_tree,Low,allow,611099,0.6403005467343675,2,3.2727921335168277e-06
decision_tree,Medium,monitor,320483,0.3357973750882759,158,0.0004930058692660765
decision_tree,High,step_up_auth,17301,0.018127733409891513,101,0.005837812843188255
decision_tree,Critical,block,5511,0.005774344767465009,971,0.17619306840863727
random_forest,Low,allow,603918,0.6327764005222162,0,0.0
random_forest,Medium,monitor,311835,0.3267361278465707,106,0.00033992335690349065
random_forest,High,step_up_auth,34763,0.036424160252474344,103,0.002962920346345252
random_forest,Critical,block,3878,0.00406331137873876,1023,0.2637957710159876
xgboost,Low,allow,710254,0.7441936977810003,15,2.111920524206833e-05
xgboost,Medium,monitor,215866,0.22618122075369293,106,0.0004910453707392549
xgboost,High,step_up_auth,25175,0.02637799483232292,91,0.0036146971201588877
xgboost,Critical,block,3099,0.003247086632983862,1020,0.3291384317521781
