learner,rule,threshold,ner,recall,precision,n_flagged
logistic_regression,fixed,0.5,0.6591486094846222,0.3409090909090909,0.8842105263157894,475
logistic_regression,youden,0.0020156772807240486,0.24988682310120794,0.810064935064935,0.017164281783159055,58144
logistic_regression,ner_optimal,0.0020156772807240486,0.24988682310120794,0.810064935064935,0.017164281783159055,58144
decision_tree,fixed,0.5,0.34823631677370337,0.6517857142857143,0.9745145631067961,824
decision_tree,youden,0.003926701378077269,0.15267752185787967,0.8701298701298701,0.046992810801332635,22812
decision_tree,ner_optimal,0.003926701378077269,0.15267752185787967,0.8701298701298701,0.046992810801332635,22812
random_forest,fixed,0.5,0.32064101237243586,0.6793831168831169,0.9732558139534884,860
random_forest,youden,0.0025640910025686026,0.13235457662914663,0.8896103896103896,0.0497435664684791,22033
random_forest,ner_optimal,0.0025640910025686026,0.13235457662914663,0.8896103896103896,0.0497435664684791,22033
xgboost,fixed,0.5,0.2589537497821917,0.7410714285714286,0.9743863393810032,937
xgboost,youden,0.0019162173848599195,0.13137587645252166,0.8871753246753247,0.05821261184490839,18776
xgboost,ner_optimal,0.0019162173848599195,0.13137587645252166,0.8871753246753247,0.05821261184490839,18776
