feature,drop,std
type_TRANSFER,0.7006626636472062,0.008855957015021083
newbalanceDest,0.5281406097857289,0.009425657966748772
amount,0.4470530025818727,0.02219398768560313
destZeroAfter,0.2923807704588267,0.00990893222352611
type_CASH_OUT,0.2676183078119611,0.013534891895713422
hour,0.23113866067415406,0.013448461109911786
day,0.2068405917953684,0.007849929835382519
oldbalanceDest,0.15406031221338506,0.00821980519027075
destZeroBefore,0.13978953934471888,0.005791963519783945
log_amount,0.009874379782833698,0.00401248573246527
type_PAYMENT,0.0035728006689274673,0.0027402809012848687
type_CASH_IN,0.0034835149543832157,0.0036137715614777233
type_DEBIT,0.0,0.0
highRiskFlag,-0.00023433286889149585,0.00027985542689592006
