learner,config,variant,level,threshold_rule,split,seed,feature_set,fit_seconds,n_train,pr_auc,roc_auc,brier,threshold,tp,fp,fn,tn,precision,recall,f1,mcc,n_flagged,alert_rate,R,ner,total_risk,recall_at_100,precision_at_100,recall_at_500,precision_at_500,recall_at_1000,precision_at_1000,recall_at_5000,precision_at_5000
logistic_regression,C,unweighted,decision,ner_optimal,val,42,no_origin_balance,13.310189800000444,4453834,0.5422539210330158,0.9578038841784238,0.0007761498552311428,0.0020156772807240486,1032,57274,200,895886,0.017699722155524303,0.8376623376623377,0.03466693540260002,0.11657311490878769,58306,0.06109229750458931,773.7010836478753,0.22242370505644712,212014.216729575,0.08116883116883117,1.0,0.3717532467532468,0.916,0.502435064935065,0.619,0.6672077922077922,0.1644
logistic_regression,C,unweighted,decision,ner_optimal,test,42,no_origin_balance,13.310189800000444,4453834,0.5039687570139619,0.9545552646819798,0.0008164262003653779,0.0020156772807240486,998,57146,234,896016,0.017164281783159055,0.810064935064935,0.03361627593640528,0.11260225739282739,58144,0.060922428263379694,773.7010836478753,0.24988682310120794,238192.05357360275,0.08116883116883117,1.0,0.3555194805194805,0.876,0.47564935064935066,0.586,0.6331168831168831,0.156
decision_tree,C,unweighted,decision,ner_optimal,val,42,no_origin_balance,90.87255670000013,4453834,0.7608247469900982,0.9764747791420254,0.0004008668423864359,0.003926701378077269,1094,21910,138,931250,0.04755694661797948,0.887987012987013,0.09027892391483743,0.20250582770049672,23004,0.024103303464404563,773.7010836478753,0.13499872567221416,128680.74954340678,0.08116883116883117,1.0,0.40584415584415584,1.0,0.7191558441558441,0.886,0.8068181818181818,0.1988
decision_tree,C,unweighted,decision,ner_optimal,test,42,no_origin_balance,90.87255670000013,4453834,0.7297426212657876,0.9731520858721036,0.000444711466590677,0.003926701378077269,1072,21740,160,931422,0.046992810801332635,0.8701298701298701,0.08916985526534686,0.1991795528446559,22812,0.023902078177356522,773.7010836478753,0.15267752185787967,145532.17338366003,0.08116883116883117,1.0,0.40584415584415584,1.0,0.698051948051948,0.86,0.7840909090909091,0.1932
random_forest,C,unweighted,decision,ner_optimal,val,42,no_origin_balance,234.32227590000002,4453834,0.8245821532615634,0.986564506568854,0.0003526877878719097,0.0025640910025686026,1117,21023,115,932137,0.0504516711833785,0.9066558441558441,0.09558446003765189,0.2109986096216044,22140,0.023198015071375283,773.7010836478753,0.11539934451749824,109998.62461950563,0.08116883116883117,1.0,0.40584415584415584,1.0,0.7597402597402597,0.936,0.8587662337662337,0.2116
random_forest,C,unweighted,decision,ner_optimal,test,42,no_origin_balance,234.32227590000002,4453834,0.7967497221433496,0.9866973799332621,0.0003995703058644836,0.0025640910025686026,1096,20937,136,932225,0.0497435664684791,0.8896103896103896,0.0942187835804857,0.20744438887980668,22033,0.023085853431601622,773.7010836478753,0.13235457662914663,126160.34737611104,0.08116883116883117,1.0,0.4050324675324675,0.998,0.7305194805194806,0.9,0.836038961038961,0.206
xgboost,C,unweighted,decision,ner_optimal,val,42,no_origin_balance,167.50513709999996,4453834,0.8481750124473958,0.9855091044048695,0.0002872703457763005,0.0019162173848599195,1114,17992,118,935168,0.058306291217418614,0.9042207792207793,0.10954862818369554,0.22695696083590122,19106,0.020019027820853484,773.7010836478753,0.11465459320992887,109288.72787044925,0.08116883116883117,1.0,0.40584415584415584,1.0,0.7857142857142857,0.968,0.8733766233766234,0.2152
xgboost,C,unweighted,decision,ner_optimal,test,42,no_origin_balance,167.50513709999996,4453834,0.817257678698113,0.9851784403883104,0.00033685471755567106,0.0019162173848599195,1093,17683,139,935479,0.05821261184490839,0.8871753246753247,0.1092562974810076,0.224579138029712,18776,0.0196732167218151,773.7010836478753,0.13137587645252166,125227.45062705466,0.08116883116883117,1.0,0.40584415584415584,1.0,0.7589285714285714,0.935,0.8474025974025974,0.2088
logistic_regression,C,unweighted,decision,ner_optimal,val,42,no_balance_state,9.53356520000034,4453834,0.09381649594761456,0.9128300347190997,0.0012270110863805649,0.0015043186722323298,998,161935,234,791225,0.006125217113782966,0.810064935064935,0.01215849907105656,0.06108946220762666,162933,0.17071915942296248,773.7010836478753,0.35982076049791056,342981.05357360275,0.037337662337662336,0.46,0.11607142857142858,0.286,0.15503246753246752,0.191,0.2840909090909091,0.07
logistic_regression,C,unweighted,decision,ner_optimal,test,42,no_balance_state,9.53356520000034,4453834,0.0783788521397837,0.9060978449528088,0.0012356678131741857,0.0015043186722323298,959,161144,273,792018,0.005915991684299488,0.7784090909090909,0.011742737319006949,0.05826599607061417,162103,0.16984913987305034,773.7010836478753,0.3906467680823514,372364.39583586995,0.030844155844155844,0.38,0.09902597402597403,0.244,0.13717532467532467,0.169,0.2800324675324675,0.069
