learner,split_strategy,with_velocity,cost_ratio_name,R,ner,pr_auc,precision,recall,n_flagged,delta_ner_vs_no_velocity
logistic_regression,stratified,False,R_default,773.7010836478753,0.2498868231012079,0.5039687570139619,0.017164281783159,0.810064935064935,58144,
decision_tree,stratified,False,R_default,773.7010836478753,0.1526775218578796,0.7297426212657876,0.0469928108013326,0.8701298701298701,22812,
random_forest,stratified,False,R_default,773.7010836478753,0.1323545766291466,0.7967497221433496,0.0497435664684791,0.8896103896103896,22033,
xgboost,stratified,False,R_default,773.7010836478753,0.1313758764525216,0.817257678698113,0.0582126118449083,0.8871753246753247,18776,
logistic_regression,stratified,True,R_default,773.7010836478753,0.2444097615776991,0.5002190621792408,0.0133742315340724,0.8352272727272727,76939,-0.005477061523508825
decision_tree,stratified,True,R_default,773.7010836478753,0.1526775218578796,0.7297814974740391,0.0469928108013326,0.8701298701298701,22812,0.0
random_forest,stratified,True,R_default,773.7010836478753,0.1323713508296979,0.7844246898908506,0.037119076386092,0.8977272727272727,29796,1.677420055129497e-05
xgboost,stratified,True,R_default,773.7010836478753,0.1284606381951027,0.8107084779930798,0.0574465856723921,0.890422077922078,19096,-0.002915238257418906
logistic_regression,temporal,False,R_default,773.7010836478753,0.2089181921606952,0.6200901690004854,0.0545002603248181,0.8092269326683291,59541,
logistic_regression,temporal,False,R_train_ratio,1219.397192402973,0.1825170472500936,0.6200901690004854,0.045123155374606,0.8319201995012468,73931,
logistic_regression,temporal,False,R_test_ratio,237.3401496259352,0.3493014501259433,0.6200901690004854,0.3381313455854003,0.6561097256857855,7781,
decision_tree,temporal,False,R_default,773.7010836478753,0.185146701534754,0.7450796488048417,0.3626799557032115,0.816708229426434,9030,
decision_tree,temporal,False,R_train_ratio,1219.397192402973,0.1844687144797062,0.7450796488048417,0.3626799557032115,0.816708229426434,9030,
decision_tree,temporal,False,R_test_ratio,237.3401496259352,0.1893386282039544,0.7450796488048417,0.3626799557032115,0.816708229426434,9030,
random_forest,temporal,False,R_default,773.7010836478753,0.1763348125689259,0.7746774731086189,0.191666185721706,0.8281795511221945,17327,
random_forest,temporal,False,R_train_ratio,1219.397192402973,0.1656393389009176,0.7746774731086189,0.1453335062464877,0.8384039900249377,23133,
random_forest,temporal,False,R_test_ratio,237.3401496259352,0.1984620831234897,0.7746774731086189,0.2305842410524826,0.8129675810473815,14138,
xgboost,temporal,False,R_default,773.7010836478753,0.1494673450082,0.6916045006820152,0.1315034978401315,0.85785536159601,26159,
xgboost,temporal,False,R_train_ratio,1219.397192402973,0.1448500000903483,0.6916045006820152,0.114677832053966,0.8605985037406484,30093,
xgboost,temporal,False,R_test_ratio,237.3401496259352,0.189826917155497,0.6916045006820152,0.4305482340537691,0.814713216957606,7588,
logistic_regression,temporal,True,R_default,773.7010836478753,0.2892600703276834,0.626425203283764,0.1213156230234029,0.7174563591022444,23715,0.0803418781669882
logistic_regression,temporal,True,R_train_ratio,1219.397192402973,0.1641129280355038,0.626425203283764,0.0360755829254171,0.8546134663341646,94995,-0.018404119214589787
logistic_regression,temporal,True,R_test_ratio,237.3401496259352,0.3452200130920504,0.626425203283764,0.3433203631647211,0.6600997506234414,7710,-0.00408143703389291
decision_tree,temporal,True,R_default,773.7010836478753,0.1851534701794429,0.7421317781601926,0.3618384708871948,0.816708229426434,9051,6.768644688903702e-06
decision_tree,temporal,True,R_train_ratio,1219.397192402973,0.1844730091490423,0.7421317781601926,0.3618384708871948,0.816708229426434,9051,4.294669336102341e-06
decision_tree,temporal,True,R_test_ratio,237.3401496259352,0.1893606931927012,0.7421317781601926,0.3618384708871948,0.816708229426434,9051,2.2064988746822722e-05
random_forest,temporal,True,R_default,773.7010836478753,0.1679508634549243,0.7703528084449939,0.1285861634259082,0.8394014962593517,26177,-0.008383949114001615
random_forest,temporal,True,R_train_ratio,1219.397192402973,0.1385470061784233,0.7703528084449939,0.063110212773637,0.872069825436409,55411,-0.027092332722494283
random_forest,temporal,True,R_test_ratio,237.3401496259352,0.1950141405370882,0.7703528084449939,0.187564175698802,0.8199501246882793,17530,-0.0034479425864014923
xgboost,temporal,True,R_default,773.7010836478753,0.15509677106466,0.6867654735975293,0.1407841035577359,0.8516209476309227,24257,0.005629426056459996
xgboost,temporal,True,R_train_ratio,1219.397192402973,0.1397513455524453,0.6867654735975293,0.0809880448434665,0.8683291770573566,42994,-0.00509865453790298
xgboost,temporal,True,R_test_ratio,237.3401496259352,0.2021909881387413,0.6867654735975293,0.3733487833140209,0.8034912718204489,8630,0.012364070983244324
