learner,config,variant,level,threshold_rule,split,seed,split_strategy,with_velocity,cost_ratio_name,feature_set,fit_seconds,n_train,pr_auc,roc_auc,brier,threshold,tp,fp,fn,tn,precision,recall,f1,mcc,n_flagged,alert_rate,R,ner,total_risk,recall_at_100,precision_at_100,recall_at_500,precision_at_500,recall_at_1000,precision_at_1000,recall_at_5000,precision_at_5000
logistic_regression,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_default,no_origin_balance_temporal_no_velocity,10.07758019999983,4433703,0.6200901690004854,0.953206415069128,0.0023626017578185863,0.002066977322101593,3245,56296,765,895438,0.054500260324818195,0.8092269326683291,0.10212270459945555,0.20059678174442427,59541,0.06229806307965313,773.7010836478753,0.20891819216069524,648177.3289906245,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.6124688279301745,0.4912
logistic_regression,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_train_ratio,no_origin_balance_temporal_no_velocity,10.07758019999983,4433703,0.6200901690004854,0.953206415069128,0.0023626017578185863,0.0016272437060251832,3336,70595,674,881139,0.04512315537460605,0.8319201995012468,0.08560321268651928,0.18333760545271655,73931,0.0773543961562929,1219.3971924029727,0.1825170472500936,892468.7076796035,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.6124688279301745,0.4912
logistic_regression,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_test_ratio,no_origin_balance_temporal_no_velocity,10.07758019999983,4433703,0.6200901690004854,0.953206415069128,0.0023626017578185863,0.012632761150598526,2631,5150,1379,946584,0.3381313455854003,0.6561097256857855,0.4462725807819523,0.46805449071451943,7781,0.008141301436367899,237.34014962593517,0.3493014501259433,332442.0663341647,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.6124688279301745,0.4912
decision_tree,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_default,no_origin_balance_temporal_no_velocity,73.91123740000057,4433703,0.7450796488048417,0.9679702169501698,0.0014327740074326454,0.0018951358506456017,3275,5755,735,945979,0.36267995570321154,0.816708229426434,0.5023006134969326,0.5416468014695703,9030,0.009448136739545318,773.7010836478753,0.18514670153475402,574425.2964811883,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7670822942643392,0.6152
decision_tree,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_train_ratio,no_origin_balance_temporal_no_velocity,73.91123740000057,4433703,0.7450796488048417,0.9679702169501698,0.0014327740074326454,0.0018951358506456017,3275,5755,735,945979,0.36267995570321154,0.816708229426434,0.5023006134969326,0.5416468014695703,9030,0.009448136739545318,1219.3971924029727,0.18446871447970628,902011.9364161848,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7670822942643392,0.6152
decision_tree,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_test_ratio,no_origin_balance_temporal_no_velocity,73.91123740000057,4433703,0.7450796488048417,0.9679702169501698,0.0014327740074326454,0.0018951358506456017,3275,5755,735,945979,0.36267995570321154,0.816708229426434,0.5023006134969326,0.5416468014695703,9030,0.009448136739545318,237.34014962593517,0.1893386282039544,180200.00997506242,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7670822942643392,0.6152
random_forest,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_default,no_origin_balance_temporal_no_velocity,191.2637009,4433703,0.7746774731086189,0.975338532764559,0.0016973465840293366,0.00813510362058878,3321,14006,689,937728,0.19166618572170602,0.8281795511221945,0.3112902469887988,0.39410169007559775,17327,0.018129331703887232,773.7010836478753,0.17633481256892594,547086.046633386,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7635910224438903,0.6124
random_forest,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_train_ratio,no_origin_balance_temporal_no_velocity,191.2637009,4433703,0.7746774731086189,0.975338532764559,0.0016973465840293366,0.0043149529956281185,3362,19771,648,931963,0.1453335062464877,0.8384039900249377,0.24772501197362118,0.34389093288246364,23133,0.02420418019888171,1219.3971924029727,0.16563933890091762,809940.3806771261,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7635910224438903,0.6124
random_forest,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_test_ratio,no_origin_balance_temporal_no_velocity,191.2637009,4433703,0.7746774731086189,0.975338532764559,0.0016973465840293366,0.022085096687078476,3260,10878,750,940856,0.23058424105248268,0.8129675810473815,0.3592682389243994,0.42916614274152365,14138,0.014792664144373389,237.34014962593517,0.19846208312348973,188883.11221945146,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24937655860349128,1.0,0.7635910224438903,0.6124
xgboost,C,unweighted,decision,ner_optimal,test,42,temporal,False,R_default,no_origin_balance_temporal_no_velocity,140.5777767999998,4433703,0.6916045006820152,0.9770836984738296,0.0034688891661699118,0.0008793192100711167,3440,22719,570,929015,0.13150349784013152,0.85785536159601,0.22804865921972886,0.3303943993255046,26159,0.027370299996651824,773.7010836478753,0.14946734500820003,463728.6176792889,0.02493765586034913,1.0,0.12468827930174564,1.0,0.24663341645885287,0.989,0.7009975062344139,0.5622
