learner,split_strategy,with_velocity,ner,pr_auc,precision,recall,n_flagged,delta_ner_vs_no_velocity
logistic_regression,stratified,False,0.2498868231012079,0.5039687570139619,0.017164281783159,0.810064935064935,58144,
decision_tree,stratified,False,0.1526775218578796,0.7297426212657876,0.0469928108013326,0.8701298701298701,22812,
random_forest,stratified,False,0.1323545766291466,0.7967497221433496,0.0497435664684791,0.8896103896103896,22033,
xgboost,stratified,False,0.1313758764525216,0.817257678698113,0.0582126118449083,0.8871753246753247,18776,
logistic_regression,stratified,True,0.2444097615776991,0.5002190621792408,0.013374231534072446,0.8352272727272727,76939,-0.005477061523508825
decision_tree,stratified,True,0.15267752185787967,0.7297814974740391,0.046992810801332635,0.8701298701298701,22812,5.551115123125783e-17
random_forest,stratified,True,0.1323713508296979,0.7844246898908506,0.03711907638609209,0.8977272727272727,29796,1.677420055129497e-05
xgboost,stratified,True,0.12846063819510278,0.8107084779930798,0.05744658567239212,0.890422077922078,19096,-0.002915238257418823
logistic_regression,temporal,False,0.048165378201099465,0.6841463520376733,0.032162063384326214,0.9903536977491961,38306,
decision_tree,temporal,False,0.20887988760173706,0.7651516022751663,0.600609756097561,0.7918006430868167,1640,
random_forest,temporal,False,0.04028991256171907,0.7800200856396168,0.03228237985080446,0.9983922829581994,38473,
xgboost,temporal,False,0.03979974068451368,0.7936734657015367,0.0478794032648598,0.9855305466237942,25606,
logistic_regression,temporal,True,0.05164637284818637,0.673241114172049,0.030667963198444163,0.9887459807073955,40107,0.003480994647086906
decision_tree,temporal,True,0.20887988760173706,0.7651515197505836,0.600609756097561,0.7918006430868167,1640,0.0
random_forest,temporal,True,0.045565425766741226,0.7871993867549854,0.027583148558758316,1.0,45100,0.0052755132050221545
xgboost,temporal,True,0.037169347316233316,0.7771236137693859,0.03915052538295987,0.9943729903536977,31596,-0.0026303933682803662
