learner,reference,R_train,n_pairs,delta_pr_auc_mean,delta_pr_auc_median,delta_pr_auc_std,delta_pr_auc_min,delta_pr_auc_max,delta_pr_auc_range,delta_pr_auc_n_negative,delta_pr_auc_all_same_sign,delta_ner_mean,delta_ner_median,delta_ner_std,delta_ner_min,delta_ner_max,delta_ner_range,delta_ner_n_negative,delta_ner_all_same_sign
decision_tree,default,1.0,16,0.015233180346881585,0.01546266670758284,0.005400229805830663,0.007996207066430783,0.022117604205852404,0.014121397139421621,0,True,0.05158808289601573,0.0620187745777759,0.023919998608015358,0.011903933236934922,0.070406915073823,0.05850298183688808,0,True
decision_tree,default,10.0,16,0.029692629896585866,0.03068729684071425,0.008770502713017431,0.016351149731115955,0.040877374714108905,0.02452622498299295,0,True,0.010576573986075085,0.009752769018026831,0.0020014858779755663,0.008794429301881845,0.013601795823105056,0.004807366521223211,0,True
decision_tree,default,50.0,16,0.024217822142427077,0.022300071387326592,0.004812186819651999,0.019649642234940035,0.03183037392501464,0.012180731690074609,0,True,0.004557059935757212,0.0038646947455767133,0.0049655600207438345,-0.00030979752248380676,0.011405611654865894,0.0117154091773497,4,False
decision_tree,default,100.0,16,0.02264219090324035,0.021011011973610494,0.013444246748495346,0.009144109720176763,0.039240864176627865,0.030096754456451102,0,True,0.0035020788700829896,0.0033589097881407473,0.0022451130878022043,0.0005898324917315151,0.006687287411958176,0.006097454920226661,0,True
decision_tree,default,2000.0,16,-0.05509835995953234,-0.057595391170988774,0.011310697324434077,-0.06796553082382728,-0.0375236148660546,0.03044191595777268,16,True,0.0062820362159091946,0.006080583767838918,0.002801064705623065,0.00276818199282286,0.01019223847221408,0.0074240564793912195,0,True
decision_tree,default,5000.0,16,-0.06752603003410103,-0.06786911397239892,0.007474060313755479,-0.07766501371641532,-0.05698833055235153,0.02067668316406379,16,True,0.008186387245004492,0.007170439863702083,0.003236240220363567,0.005041685825490652,0.01335747566226865,0.008315789836777998,0,True
logistic_regression,default,1.0,4,0.365801047539911,0.36461286416315003,0.010075060281338174,0.3552624500423546,0.3787160117909891,0.0234535617486345,0,True,0.03296728376984928,0.03690385460248086,0.008392934160968804,0.020389631486534415,0.037671794387901,0.017282162901366582,0,True
logistic_regression,default,10.0,4,0.3326435459269724,0.33331505359945457,0.011915963850545138,0.3175261287854675,0.34641794772351286,0.028891818938045377,0,True,0.022316177396826564,0.022972382553791956,0.007835844548984304,0.0121210737998525,0.031198870679869845,0.019077796880017345,0,True
logistic_regression,default,50.0,4,0.22958491559904687,0.23202589009207775,0.012857535586161636,0.21223726872696336,0.2420506134850686,0.029813344758105237,0,True,0.014559340189302633,0.015967694500492735,0.0031427734578041147,0.009870022939535233,0.01643194881668983,0.006561925877154595,0,True
logistic_regression,default,100.0,4,0.16445678415199588,0.16648547171223987,0.013005769743180434,0.14789377043105334,0.17696242275245047,0.02906865232139713,0,True,0.01187287936571007,0.012593293303392428,0.0037087461730576825,0.007085015268440242,0.01521991558761518,0.008134900319174937,0,True
logistic_regression,default,2000.0,4,-0.019216619836764863,-0.018675142772300465,0.003348777940600769,-0.0231253188806039,-0.01639087492185462,0.006734443958749281,4,True,-0.0056897405775072005,-0.0058293247806692206,0.005140369659851564,-0.011098311504391861,-2.0012442984995715e-06,0.011096310260093362,4,True
logistic_regression,default,5000.0,4,-0.02805140219797865,-0.027576392265133413,0.00474734857664837,-0.03338952752886558,-0.023663296732782196,0.009726230796083382,4,True,-0.005048071681467779,-0.006634042842899493,0.007383074981512222,-0.012219495114525664,0.005295294074453533,0.017514789188979196,3,False
random_forest,default,1.0,16,0.04647450885554655,0.045065680971532185,0.005369879332594218,0.03992322379977098,0.05435726302413835,0.014434039224367368,0,True,-0.02116213425138106,-0.020171712626462945,0.005142040378021512,-0.030056163506558695,-0.0142108885188688,0.015845274987689895,16,True
