learner,reference,reference_R_train,R_train,split_seed,model_seed,exact_seed_match,matched_by_determinism,same_test_observations,reference_pr_auc,pr_auc,delta_pr_auc,reference_ner,ner,delta_ner
decision_tree,unweighted,1.0,10.0,123,123,True,False,True,0.7674547839989712,0.7862209553507415,0.01876617135177039,0.1831234650863708,0.13165556372361506,-0.05146790136275575
decision_tree,unweighted,1.0,10.0,123,42,True,False,True,0.7660834404692739,0.7862124993792531,0.02012905890997918,0.1831245141844384,0.13166185831202015,-0.051462655872418245
decision_tree,unweighted,1.0,10.0,123,456,True,False,True,0.7674547839989712,0.7855807949570257,0.01812601095805455,0.1831234650863708,0.13246725203530338,-0.050656213051067434
decision_tree,unweighted,1.0,10.0,123,789,True,False,True,0.7674627863245576,0.7855850361014509,0.018122249776893362,0.1831171704979658,0.13246410474110085,-0.05065306575686496
decision_tree,unweighted,1.0,10.0,42,123,True,False,True,0.7297426212657876,0.7407694154252512,0.011026794159463615,0.1526775218578796,0.15436069707110456,0.0016831752132249467
decision_tree,unweighted,1.0,10.0,42,42,True,False,True,0.7297426212657876,0.7407429205462306,0.011000299280442993,0.1526775218578796,0.15436069707110456,0.0016831752132249467
decision_tree,unweighted,1.0,10.0,42,456,True,False,True,0.7297814974740391,0.7407694154252512,0.010987917951212123,0.1526775218578796,0.15436069707110456,0.0016831752132249467
decision_tree,unweighted,1.0,10.0,42,789,True,False,True,0.7297426212657876,0.7407429205462306,0.011000299280442993,0.1526775218578796,0.15436069707110456,0.0016831752132249467
decision_tree,unweighted,1.0,10.0,456,123,True,False,True,0.7511873139577037,0.7598423113589786,0.008654997401274955,0.193050464282648,0.1399895018201081,-0.053060962462539885
decision_tree,unweighted,1.0,10.0,456,42,True,False,True,0.7511850498051984,0.7598656414552162,0.008680591650017777,0.1930515133807155,0.1399895018201081,-0.053062011560607386
decision_tree,unweighted,1.0,10.0,456,456,True,False,True,0.7507019534840034,0.7594152395632916,0.00871328607928823,0.1930515133807155,0.1399884527220406,-0.05306306065867489
decision_tree,unweighted,1.0,10.0,456,789,True,False,True,0.7511850498051984,0.7594385696595292,0.00825351985433076,0.1930515133807155,0.1399884527220406,-0.05306306065867489
decision_tree,unweighted,1.0,10.0,789,123,True,False,True,0.7571897155189382,0.7766654765197472,0.019475761000808944,0.1875312563012945,0.12592821241196098,-0.06160304388933352
decision_tree,unweighted,1.0,10.0,789,42,True,False,True,0.7571897155189382,0.7766878144967572,0.019498098977818956,0.1875312563012945,0.12592401601969094,-0.061607240281603554
decision_tree,unweighted,1.0,10.0,789,456,True,False,True,0.7571744114532092,0.7766654765197472,0.01949106506653797,0.1875354526935645,0.12592821241196098,-0.061607240281603526
decision_tree,unweighted,1.0,10.0,789,789,True,False,True,0.7572455594467772,0.7766706305437089,0.0194250710969317,0.1875354526935645,0.12592506511775844,-0.06161038757580606
decision_tree,unweighted,1.0,50.0,123,123,True,False,True,0.7674547839989712,0.7658809992931647,-0.0015737847058064913,0.1831234650863708,0.12787029820713094,-0.05525316687923987
decision_tree,unweighted,1.0,50.0,123,42,True,False,True,0.7660834404692739,0.7658773447913696,-0.0002060956779043055,0.1831245141844384,0.127874494599401,-0.05525001958503739
decision_tree,unweighted,1.0,50.0,123,456,True,False,True,0.7674547839989712,0.7658773447913696,-0.0015774392076015609,0.1831234650863708,0.127874494599401,-0.055248970486969806
decision_tree,unweighted,1.0,50.0,123,789,True,False,True,0.7674627863245576,0.7658666416375838,-0.0015961446869737772,0.1831171704979658,0.127874494599401,-0.0552426758985648
decision_tree,unweighted,1.0,50.0,42,123,True,False,True,0.7297426212657876,0.7431704780619489,0.01342785679616132,0.1526775218578796,0.14046379109846088,-0.012213730759418728
decision_tree,unweighted,1.0,50.0,42,42,True,False,True,0.7297426212657876,0.7431342310313236,0.013391609765535994,0.1526775218578796,0.14046379109846088,-0.012213730759418728
decision_tree,unweighted,1.0,50.0,42,456,True,False,True,0.7297814974740391,0.7431274559046234,0.013345958430584282,0.1526775218578796,0.14046379109846088,-0.012213730759418728
decision_tree,unweighted,1.0,50.0,42,789,True,False,True,0.7297426212657876,0.7431520089384971,0.013409387672709494,0.1526775218578796,0.14046379109846088,-0.012213730759418728
decision_tree,unweighted,1.0,50.0,456,123,True,False,True,0.7511873139577037,0.7632125895511737,0.012025275593469997,0.193050464282648,0.1423850146211749,-0.0506654496614731
decision_tree,unweighted,1.0,50.0,456,42,True,False,True,0.7511850498051984,0.7632125895511737,0.012027539745975258,0.1930515133807155,0.1423850146211749,-0.0506664987595406
decision_tree,unweighted,1.0,50.0,456,456,True,False,True,0.7507019534840034,0.7631632749024297,0.012461321418426374,0.1930515133807155,0.1423850146211749,-0.0506664987595406
decision_tree,unweighted,1.0,50.0,456,789,True,False,True,0.7511850498051984,0.7627370621633532,0.01155201235815484,0.1930515133807155,0.1423860637192424,-0.0506654496614731
decision_tree,unweighted,1.0,50.0,789,123,True,False,True,0.7571897155189382,0.7690009713736565,0.011811255854718317,0.1875312563012945,0.11733291783923375,-0.07019833846206075
decision_tree,unweighted,1.0,50.0,789,42,True,False,True,0.7571897155189382,0.7687806658088926,0.011590950289954383,0.1875312563012945,0.11814880254319211,-0.06938245375810238
decision_tree,unweighted,1.0,50.0,789,456,True,False,True,0.7571744114532092,0.7690441756954115,0.011869764242202319,0.1875354526935645,0.11733291783923375,-0.07020253485433076
decision_tree,unweighted,1.0,50.0,789,789,True,False,True,0.7572455594467772,0.7690403602858986,0.011794800839121433,0.1875354526935645,0.1173360651334363,-0.07019938756012821
decision_tree,unweighted,1.0,100.0,123,123,True,False,True,0.7674547839989712,0.7545137077720243,-0.012941076226946846,0.1831234650863708,0.12415848092390173,-0.05896498416246908
decision_tree,unweighted,1.0,100.0,123,42,True,False,True,0.7660834404692739,0.754510614919658,-0.011572825549615917,0.1831245141844384,0.12416267731617178,-0.058961836868266615
