cell_id,learner,R_train,r_train_parameter,r_train_in_estimator,r_train_reached_estimator,convergence_warnings
decision_tree__weighted__R100__split123__model123,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split123__model42,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split123__model456,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split123__model789,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split42__model123,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split42__model42,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split42__model456,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split42__model789,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split456__model123,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split456__model42,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split456__model456,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split456__model789,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split789__model123,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split789__model42,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split789__model456,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R100__split789__model789,decision_tree,100.0,class_weight[1],100.0,True,0
decision_tree__weighted__R10__split123__model123,decision_tree,10.0,class_weight[1],10.0,True,0
decision_tree__weighted__R10__split123__model42,decision_tree,10.0,class_weight[1],10.0,True,0
decision_tree__weighted__R10__split123__model456,decision_tree,10.0,class_weight[1],10.0,True,0
decision_tree__weighted__R10__split123__model789,decision_tree,10.0,class_weight[1],10.0,True,0
decision_tree__weighted__R10__split42__model123,decision_tree,10.0,class_weight[1],10.0,True,0
decision_tree__weighted__R10__split42__model42,decision_tree,10.0,class_weight[1],10.0,True,0
