learner,R_train,csl_mechanism,is_default_R_train,n_cells,n_split_seeds,n_model_seeds,pr_auc_mean,pr_auc_median,pr_auc_std,pr_auc_min,pr_auc_max,pr_auc_range,ner_mean,ner_median,ner_std,ner_min,ner_max,ner_range
decision_tree,1.0,none,False,16,4,4,0.7512827453158214,0.7541808627054565,0.014138777544403857,0.7297426212657876,0.7674627863245576,0.03772016505876996,0.17909607029382354,0.18532788524286645,0.016166499505458988,0.1526775218578796,0.1930515133807155,0.040373991522835884
decision_tree,10.0,class_weighting,False,16,4,4,0.7657421948655256,0.7682655589874816,0.017794962354396766,0.7407429205462306,0.7862209553507415,0.04547803480451096,0.13808456138388292,0.136227852378672,0.01098838856469984,0.12592401601969094,0.15436069707110456,0.028436681051413615
decision_tree,50.0,class_weighting,False,16,4,4,0.760267387111367,0.7645396155943787,0.010433767844843398,0.7431274559046234,0.7690441756954115,0.025916719790788134,0.13206504733356503,0.13416914284893094,0.010402366149035107,0.11733291783923375,0.1423860637192424,0.025053145880008648
decision_tree,100.0,class_weighting,False,16,4,4,0.7586917558721802,0.7549597065260472,0.009496865492484262,0.750522206027975,0.774418437628172,0.023896231600196938,0.1310100662678908,0.13091415929818573,0.010948489634931726,0.11771837011147301,0.14449515001082006,0.026776779899347042
decision_tree,773.7010836478753,class_weighting,True,16,4,4,0.7360495649689398,0.743905081544439,0.01476864838222701,0.7113265927524011,0.7453480598658605,0.034021467113459436,0.12750798739780783,0.12607238649900354,0.009463184442209054,0.1171285376197415,0.1407735886209447,0.02364505100120319
decision_tree,2000.0,class_weighting,False,16,4,4,0.6809512050094074,0.6808564051454453,0.0067474079616396745,0.6738029778863465,0.6882904033293749,0.01448742544302839,0.13379002361371703,0.13374142442995265,0.010330461340522597,0.11989776871063196,0.1477805259823983,0.02788275727176634
decision_tree,5000.0,class_weighting,False,16,4,4,0.6685235349348387,0.6707199166614721,0.009837216688949811,0.6543382622000495,0.6783169404621416,0.0239786782620921,0.1356943746428123,0.1360500730478822,0.009688834064858824,0.12217127254329975,0.1485071290302526,0.026335856486952844
logistic_regression,1.0,none,False,4,4,1,0.523583968243547,0.5279160769282769,0.014271354747330569,0.5039687570139619,0.5345349621036724,0.03056620508971042,0.22865139640693244,0.22422288550517538,0.014722931354249331,0.2162729915161711,0.2498868231012079,0.03361383158503681
logistic_regression,10.0,class_weighting,False,4,4,1,0.4904264666306084,0.4966182663645814,0.016710751600204486,0.4662324357570748,0.5022368980361961,0.036004462279121296,0.21800029003390975,0.20994227475647081,0.017567572965148423,0.20791137769404777,0.24420523292864954,0.03629385523460177
logistic_regression,50.0,class_weighting,False,4,4,1,0.38736783630268296,0.3953291028572046,0.017689136990780608,0.36094357569857066,0.3978695637977518,0.03692598809918113,0.2102434528263858,0.2052097820053872,0.012402324491379513,0.20186983856396673,0.22868440873080212,0.02681457016683539
logistic_regression,100.0,class_weighting,False,4,4,1,0.3222397048556319,0.3295653189090221,0.017379592125124525,0.29660007740266064,0.333228104201823,0.03662802679916238,0.20755699200279326,0.20329856470416574,0.010993512048083293,0.19977762342477687,0.22385321517806459,0.024075591753287717
logistic_regression,773.7010836478753,class_weighting,True,4,4,1,0.15778292070363606,0.15835473233904995,0.007276252986284374,0.1487063069716073,0.165715911164837,0.017009604193229694,0.19568411263708316,0.19214609927613804,0.012356033992632173,0.1854378897472769,0.2130063622487797,0.027568472501502794
logistic_regression,2000.0,class_weighting,False,4,4,1,0.1385663008668712,0.1385966354378207,0.00999053777566682,0.1278182720053408,0.14925366058650258,0.021435388581161785,0.18999437205957598,0.18922939000771893,0.009655895793398414,0.17961065747847818,0.20190805074438783,0.022297393265909654
logistic_regression,5000.0,class_weighting,False,4,4,1,0.1297315185056574,0.12942940024700214,0.011361867790910717,0.11801465909657051,0.1420526144320548,0.024037955335484293,0.1906360409556154,0.18988862845425697,0.007756920069596464,0.1819800397796936,0.20078686713425403,0.018806827354560435
random_forest,1.0,none,False,16,4,4,0.8165865661970209,0.8214129469383407,0.012610772150007872,0.7946899724099898,0.8283846305647891,0.03369465815479922,0.11523407813689351,0.112564393685369,0.008547348010990028,0.1035519428873147,0.1323545766291466,0.028802633741831896
random_forest,10.0,class_weighting,False,16,4,4,0.8109382103905762,0.8171819902232824,0.013842610930657532,0.7876938784044724,0.8225718589852264,0.03487798058075409,0.11052671701988584,0.1089003103642117,0.007795311801716228,0.10176543719870422,0.1254541284058102,0.02368869120710597
random_forest,50.0,class_weighting,False,16,4,4,0.8076858691170103,0.8130528572188198,0.0134392462946816,0.7838503917052279,0.820723424298153,0.03687303259292518,0.11086778471901773,0.11088642685509235,0.007373990768346419,0.1005871917485208,0.12179590070733175,0.021208708958810954
random_forest,100.0,class_weighting,False,16,4,4,0.802047339022644,0.8075168282196434,0.013969504219663424,0.7761206366179823,0.8156008914598144,0.03948025484183215,0.11221906791331088,0.1093797053894117,0.008596560693691935,0.10229618386902968,0.12580410524742702,0.023507921378397342
random_forest,773.7010836478753,class_weighting,True,16,4,4,0.7701120573414744,0.7727844016783478,0.014481269695478617,0.743144141522048,0.7884614067650181,0.045317265242970084,0.13639621238827454,0.13586069379390253,0.009868199192131473,0.1224860989153904,0.1527099984238568,0.030223899508466393
random_forest,2000.0,class_weighting,False,16,4,4,0.7497968936295897,0.7526192358115599,0.01575166367976516,0.7204187617575734,0.7693352288623688,0.04891646710479547,0.15297504211958213,0.1510213724480925,0.011689477924444157,0.13304086930044473,0.17513317513750282,0.042092305837058086
