learner,csl_variant,config,arm,n_pairs,delta_pr_auc_mean,delta_pr_auc_median,delta_pr_auc_std,delta_pr_auc_min,delta_pr_auc_max,delta_pr_auc_range,delta_pr_auc_n_negative,delta_pr_auc_all_same_sign,delta_ner_mean,delta_ner_median,delta_ner_std,delta_ner_min,delta_ner_max,delta_ner_range,delta_ner_n_negative,delta_ner_all_same_sign
decision_tree,rus,G,core_class_constant,16,-0.5152649615936626,-0.5198662633754012,0.044300621978160884,-0.5844775239304866,-0.4557156962260925,0.1287618277043941,16,True,-0.04372687250983613,-0.0513099977332635,0.021598024957612764,-0.06858587473229208,-0.004649938964846306,0.06393593576744577,16,True
decision_tree,weighted,E,core_class_constant,16,-0.015233180346881585,-0.01546266670758284,0.005400229805830663,-0.022117604205852404,-0.007996207066430783,0.014121397139421621,16,True,-0.05158808289601573,-0.06201877457777593,0.02391999860801537,-0.07040691507382298,-0.011903933236934894,0.05850298183688808,16,True
logistic_regression,rus,G,core_class_constant,16,-0.38348523155936043,-0.3842971175039262,0.02349426877297011,-0.41719060069334185,-0.3343886478746697,0.08280195281867214,16,True,-0.0320214851697392,-0.033617657542094906,0.007716274408387743,-0.0419717451426016,-0.019094297597193305,0.022877447545408297,16,True
logistic_regression,weighted,E,core_class_constant,4,-0.3658010475399109,-0.36461286416315,0.010075060281338174,-0.3787160117909891,-0.3552624500423546,0.0234535617486345,4,True,-0.0329672837698493,-0.0369038546024809,0.008392934160968837,-0.037671794387901025,-0.020389631486534388,0.017282162901366638,4,True
random_forest,rus,G,core_class_constant,16,-0.0641324548703062,-0.06534509576947445,0.010815093222580698,-0.08707900639895971,-0.046434895698365564,0.04064411070059415,16,True,0.009911770556812598,0.009730287624353892,0.0027922645001154695,0.00532206312796854,0.0158635315677704,0.01054146843980186,0,True
random_forest,weighted,E,core_class_constant,16,-0.04647450885554655,-0.045065680971532185,0.005369879332594218,-0.05435726302413835,-0.03992322379977098,0.014434039224367368,16,True,0.02116213425138106,0.02017171262646293,0.005142040378021498,0.014210888518868772,0.030056163506558625,0.015845274987689853,0,True
xgboost,rus,G,core_class_constant,16,-0.07370141633631971,-0.0744726963742372,0.007865079637072591,-0.08444706220626752,-0.057666929552658175,0.026780132653609345,16,True,0.00276680550666975,0.0033415398255795536,0.0030749068794798822,-0.0043237550491571075,0.007428241503132371,0.011751996552289479,3,False
xgboost,weighted,E,core_class_constant,16,-0.017907354070092092,-0.017935595249269187,0.002487882588425631,-0.02223445207517205,-0.012989688364681506,0.009244763710490544,16,True,0.011038717436294886,0.010446604963734965,0.003746038497603035,0.005933938047646678,0.017932375693965413,0.011998437646318735,0,True
decision_tree,instance_weighted,F,sensitivity,16,-0.014920805460884277,-0.013858447199751545,0.004424350297350199,-0.02216054938123646,-0.009484000825515482,0.012676548555720979,16,True,-0.04707029748340274,-0.05499420213711215,0.022825514946152727,-0.06830240161333248,-0.009988810398952913,0.05831359121437957,16,True
logistic_regression,instance_weighted,F,sensitivity,4,-0.26206464497223836,-0.2632632816960065,0.005440026947185734,-0.26715270323030055,-0.25457931326663985,0.012573389963660697,4,True,-0.013844890194664547,-0.01399750538249514,0.009859831547829217,-0.022827011258465202,-0.004557538755202706,0.018269472503262496,4,True
random_forest,instance_weighted,F,sensitivity,16,-0.03895097604359173,-0.0389184030407167,0.004064459635434247,-0.046830140256331476,-0.03220389712365557,0.014626243132675909,16,True,0.01658272072209915,0.016458110739666028,0.005575996586361584,0.007435294334095427,0.029451883019670694,0.022016588685575267,0,True
xgboost,instance_weighted,F,sensitivity,16,-0.01889412989086603,-0.018596890166664992,0.0024870747066778574,-0.02396249813502027,-0.015450225712411725,0.008512272422608547,16,True,0.011663697299947713,0.012061243786879249,0.0035884295288205487,0.005488795505924557,0.01650936543295499,0.011020569927030432,0,True
