learner,csl_variant,config,arm,split_seed,model_seed,baseline_model_seed,exact_seed_match,matched_by_determinism,same_test_observations,baseline_pr_auc,csl_pr_auc,delta_pr_auc,baseline_ner,csl_ner,delta_ner,R_train_baseline,R_train_csl,R_eval
decision_tree,weighted,E,core_class_constant,123,123,123,True,False,True,0.7674547839989712,0.745346620759228,-0.022108163239743184,0.18312346508637087,0.12115592814909051,-0.061967536937280354,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,123,42,42,True,False,True,0.7660834404692739,0.7453351246651442,-0.020748315804129724,0.1831245141844384,0.12116432093363062,-0.061960193250807774,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,123,456,456,True,False,True,0.7674547839989712,0.7453480598658605,-0.022106724133110656,0.18312346508637087,0.121154879051023,-0.06196858603534787,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,123,789,789,True,False,True,0.7674627863245576,0.7453451821187052,-0.022117604205852404,0.1831171704979658,0.12115697724715803,-0.061960193250807774,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,42,123,123,True,False,True,0.7297426212657876,0.7113401041369343,-0.018402517128853324,0.15267752185787967,0.14075890124799958,-0.011918620609880082,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,42,42,42,True,False,True,0.7297426212657876,0.7113265927524011,-0.01841602851338653,0.15267752185787967,0.14077358862094477,-0.011903933236934894,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,42,456,456,True,False,True,0.7297814974740391,0.7113362374685769,-0.018445260005462205,0.15267752185787967,0.14076309764026965,-0.01191442421761002,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,42,789,789,True,False,True,0.7297426212657876,0.7113401041369343,-0.018402517128853324,0.15267752185787967,0.14075890124799958,-0.011918620609880082,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,456,123,123,True,False,True,0.7511873139577037,0.7426824929247786,-0.008504821032925047,0.19305046428264805,0.13098150116244406,-0.06206896312020399,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,456,42,42,True,False,True,0.7511850498051984,0.7427057464175726,-0.008479303387625814,0.19305151338071555,0.13098150116244406,-0.06207001221827149,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,456,456,456,True,False,True,0.7507019534840034,0.7427057464175726,-0.007996207066430783,0.19305151338071555,0.13098150116244406,-0.06207001221827149,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,456,789,789,True,False,True,0.7511850498051984,0.7430874199284132,-0.008097629876785195,0.19305151338071555,0.13098045206437656,-0.062071061316338993,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,789,123,123,True,False,True,0.7571897155189382,0.744724060794993,-0.01246565472394523,0.18753125630129452,0.11712853761974158,-0.07040271868155294,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,789,42,42,True,False,True,0.7571897155189382,0.7447227431604648,-0.012466972358473383,0.18753125630129452,0.1171295867178091,-0.07040166958348543,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,789,456,456,True,False,True,0.7571744114532092,0.744724060794993,-0.012450350658216203,0.18753545269356456,0.11712853761974158,-0.07040691507382298,1.0,773.7010836478753,773.7010836478753
decision_tree,weighted,E,core_class_constant,789,789,789,True,False,True,0.7572455594467772,0.7447227431604648,-0.012522816286312355,0.18753545269356456,0.1171295867178091,-0.07040586597575546,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,123,123,123,True,False,True,0.7674547839989712,0.29456830928311145,-0.4728864747158597,0.18312346508637087,0.13720745354314778,-0.045916011543223084,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,123,42,42,True,False,True,0.7660834404692739,0.18160591653878735,-0.5844775239304866,0.1831245141844384,0.13985934544856288,-0.04326516873587552,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,123,456,456,True,False,True,0.7674547839989712,0.22242513110121753,-0.5450296528977536,0.18312346508637087,0.1340252255118111,-0.04909823957455978,1.0,773.7010836478753,773.7010836478753
decision_tree,rus,G,core_class_constant,123,789,789,True,False,True,0.7674627863245576,0.21045151840705006,-0.5570112679175074,0.1831171704979658,0.12959541460599858,-0.053521755891967226,1.0,773.7010836478753,773.7010836478753
