learner,csl_variant,split_seed,model_seed,level,negative_retention,precision_expected,precision_observed,abs_error
decision_tree,unweighted,42,42,natural,1.0,0.046992810801332635,0.0469928108013326,3.469446951953614e-17
decision_tree,unweighted,42,42,prev_0.2581pct,0.5,0.08976720817283537,0.08975898110991373,8.22706292163966e-06
decision_tree,unweighted,42,42,prev_1.2765pct,0.0999997901720798,0.3302530827177887,0.329952310024076,0.0003007726937127031
decision_tree,unweighted,42,42,prev_10pct,0.0116328598916028,0.8091186622324649,0.8097564029207401,0.0006377406882752679
decision_tree,unweighted,42,42,prev_11.32pct,0.0100003986730482,0.8313888585592798,0.8318411033087795,0.0004522447494996751
decision_tree,unweighted,42,42,prev_1pct,0.1279614588076318,0.27816107710529275,0.27802029302529746,0.00014078407999529308
decision_tree,unweighted,42,42,prev_50pct,0.0012925399879558,0.9744570275858563,0.9748359157307539,0.0003788881448976156
decision_tree,unweighted,42,123,natural,1.0,0.046992810801332635,0.0469928108013326,3.469446951953614e-17
decision_tree,unweighted,42,123,prev_0.2581pct,0.5,0.08976720817283537,0.08985198550960728,8.477733677191013e-05
decision_tree,unweighted,42,123,prev_1.2765pct,0.0999997901720798,0.3302530827177887,0.3307416442227237,0.0004885615049349812
decision_tree,unweighted,42,123,prev_10pct,0.0116328598916028,0.8091186622324649,0.8089000974451072,0.00021856478735771123
decision_tree,unweighted,42,123,prev_11.32pct,0.0100003986730482,0.8313888585592798,0.8314905319582144,0.0001016733989346319
decision_tree,unweighted,42,123,prev_1pct,0.1279614588076318,0.27816107710529275,0.2786198025165583,0.0004587254112655703
decision_tree,unweighted,42,123,prev_50pct,0.0012925399879558,0.9744570275858563,0.974283414291915,0.00017361329394127711
decision_tree,unweighted,42,456,natural,1.0,0.046992810801332635,0.0469928108013326,3.469446951953614e-17
decision_tree,unweighted,42,456,prev_0.2581pct,0.5,0.08976720817283537,0.08973903057820717,2.8177594628198133e-05
decision_tree,unweighted,42,456,prev_1.2765pct,0.0999997901720798,0.3302530827177887,0.32921368712344523,0.0010393955943434618
decision_tree,unweighted,42,456,prev_10pct,0.0116328598916028,0.8091186622324649,0.8090093739609479,0.00010928827151701626
decision_tree,unweighted,42,456,prev_11.32pct,0.0100003986730482,0.8313888585592798,0.8315769869576434,0.00018812839836357398
decision_tree,unweighted,42,456,prev_1pct,0.1279614588076318,0.27816107710529275,0.27803145598131523,0.00012962112397751913
decision_tree,unweighted,42,456,prev_50pct,0.0012925399879558,0.9744570275858563,0.9740717421328919,0.0003852854529643457
decision_tree,unweighted,42,789,natural,1.0,0.046992810801332635,0.0469928108013326,3.469446951953614e-17
decision_tree,unweighted,42,789,prev_0.2581pct,0.5,0.08976720817283537,0.08979920789805322,3.1999725217848884e-05
decision_tree,unweighted,42,789,prev_1.2765pct,0.0999997901720798,0.3302530827177887,0.330232697950396,2.038476739268935e-05
decision_tree,unweighted,42,789,prev_10pct,0.0116328598916028,0.8091186622324649,0.8087082493845575,0.00041041284790732657
decision_tree,unweighted,42,789,prev_11.32pct,0.0100003986730482,0.8313888585592798,0.8315219719978642,0.00013311343858435354
decision_tree,unweighted,42,789,prev_1pct,0.1279614588076318,0.27816107710529275,0.2780096129711353,0.00015146413415745297
decision_tree,unweighted,42,789,prev_50pct,0.0012925399879558,0.9744570275858563,0.9739353924443656,0.0005216351414907283
decision_tree,unweighted,123,42,natural,1.0,0.1890881913303438,0.1890881913303438,0.0
decision_tree,unweighted,123,42,prev_0.2581pct,0.5,0.3180389692017599,0.3184523696232277,0.0004134004214678133
decision_tree,unweighted,123,42,prev_1.2765pct,0.0999997901720798,0.6998621281685118,0.7004021258301171,0.0005399976616052848
decision_tree,unweighted,123,42,prev_10pct,0.0116328598916028,0.9524825900273053,0.9529291420803857,0.0004465520530804179
decision_tree,unweighted,123,42,prev_11.32pct,0.0100003986730482,0.958876578465418,0.9593303567887723,0.0004537783233543591
decision_tree,unweighted,123,42,prev_1pct,0.1279614588076318,0.6456746971110771,0.6464272622612924,0.0007525651502153785
decision_tree,unweighted,123,42,prev_50pct,0.0012925399879558,0.9944874503759398,0.9944727494664317,1.470090950805858e-05
decision_tree,unweighted,123,123,natural,1.0,0.18912352831246496,0.1891235283124649,5.551115123125783e-17
decision_tree,unweighted,123,123,prev_0.2581pct,0.5,0.3180889517523181,0.3180887507357537,2.010165643939743e-07
decision_tree,unweighted,123,123,prev_1.2765pct,0.0999997901720798,0.6999105313153647,0.6998064434179814,0.00010408789738336477
decision_tree,unweighted,123,123,prev_10pct,0.0116328598916028,0.9524930185990242,0.9521770957275808,0.00031592287144344144
decision_tree,unweighted,123,123,prev_11.32pct,0.0100003986730482,0.9588856643316339,0.958665817568663,0.0002198467629709322
decision_tree,unweighted,123,123,prev_1pct,0.1279614588076318,0.6457274154433491,0.6453535660258364,0.00037384941751272827
decision_tree,unweighted,123,123,prev_50pct,0.0012925399879558,0.9944887135483784,0.9940819650812215,0.0004067484671569366
decision_tree,unweighted,123,456,natural,1.0,0.18912352831246496,0.1891235283124649,5.551115123125783e-17
decision_tree,unweighted,123,456,prev_0.2581pct,0.5,0.3180889517523181,0.3185962003245646,0.0005072485722464881
decision_tree,unweighted,123,456,prev_1.2765pct,0.0999997901720798,0.6999105313153647,0.7008507714750156,0.0009402401596508847
decision_tree,unweighted,123,456,prev_10pct,0.0116328598916028,0.9524930185990242,0.9523580971551531,0.0001349214438711721
decision_tree,unweighted,123,456,prev_11.32pct,0.0100003986730482,0.9588856643316339,0.9586675190843831,0.00021814524725083384
decision_tree,unweighted,123,456,prev_1pct,0.1279614588076318,0.6457274154433491,0.646833342326596,0.0011059268832468439
decision_tree,unweighted,123,456,prev_50pct,0.0012925399879558,0.9944887135483784,0.9939264748834689,0.0005622386649095645
decision_tree,unweighted,123,789,natural,1.0,0.18933582787652012,0.1893358278765201,2.7755575615628914e-17
decision_tree,unweighted,123,789,prev_0.2581pct,0.5,0.3183891772848828,0.31851281336226595,0.00012363607738313798
decision_tree,unweighted,123,789,prev_1.2765pct,0.0999997901720798,0.7002010908544202,0.7005580432957363,0.00035695244131617176
decision_tree,unweighted,123,789,prev_10pct,0.0116328598916028,0.9525555948252425,0.9528016610420642,0.00024606621682166097
decision_tree,unweighted,123,789,prev_11.32pct,0.0100003986730482,0.9589401831450597,0.9594041110354975,0.0004639278904378097
decision_tree,unweighted,123,789,prev_1pct,0.1279614588076318,0.6460439063091135,0.6464252142437316,0.00038130793461810253
decision_tree,unweighted,123,789,prev_50pct,0.0012925399879558,0.994496292650398,0.994668959356642,0.00017266670624405123
decision_tree,unweighted,456,42,natural,1.0,0.1812250815512867,0.1812250815512867,0.0
decision_tree,unweighted,456,42,prev_0.2581pct,0.5,0.3068425897514575,0.3071900871606345,0.000347497409177
decision_tree,unweighted,456,42,prev_1.2765pct,0.0999997901720798,0.6888005599839392,0.6903490751953681,0.001548515211428958
decision_tree,unweighted,456,42,prev_10pct,0.0116328598916028,0.9500670766920416,0.9510114255975362,0.000944348905494552
decision_tree,unweighted,456,42,prev_11.32pct,0.0100003986730482,0.956771347192662,0.9576215447488701,0.0008501975562080766
decision_tree,unweighted,456,42,prev_1pct,0.1279614588076318,0.6336614105366475,0.6359932908103199,0.002331880273672371
decision_tree,unweighted,456,42,prev_50pct,0.0012925399879558,0.994194208390513,0.993705998989281,0.0004882094012319538
