R_level,R_eval,log2_distance_from_class_ratio,learner,n_cells,mean_threshold_gap,mean_abs_threshold_gap,frac_identical,mean_delta_ner_test,sd_delta_ner_test,mean_delta_ner_val,mean_ner_B,mean_ner_C
R_x0.015625,12.089079431998051,-5.999939858606356,decision_tree,32,-0.28085735597414896,0.28085735597414896,0.0,1.4097916917506659,1.0776674369641137,1.4092358386901467,1.6934321188594812,0.2836404271088154
R_x0.0625,48.356317727992206,-3.999939858606356,decision_tree,32,-0.23306635062908757,0.23306635062908757,0.0,0.2775910179629037,0.2409950310382107,0.2803216994180718,0.5199996693252599,0.2424086513623562
R_x0.25,193.4252709119688,-1.999939858606356,decision_tree,32,-0.16794270277023318,0.16794270277023318,0.5,0.03106815565370414,0.038318235925689406,0.0338639535277101,0.22664155694170454,0.19557340128800038
val_class_ratio,773.6688311688312,0.0,decision_tree,32,0.0,0.0,1.0,0.0,0.0,0.0,0.15330304796471936,0.15330304796471936
R_x1,773.7010836478753,6.014139364405448e-05,decision_tree,32,0.0,0.0,1.0,0.0,0.0,0.0,0.15330202884581567,0.15330202884581567
R_x4,3094.804334591501,2.000060141393644,decision_tree,32,0.1312119888370944,0.1312119888370944,0.25,0.017005621503409674,0.01835204573943372,0.012970391239711844,0.1349671468218435,0.11796152531843382
R_x16,12379.217338366005,4.000060141393644,decision_tree,32,0.19019707261577423,0.19019707261577423,0.0,0.09044203259393542,0.03343945533969603,0.08778282388429753,0.13038342631585043,0.03994139372191501
R_x64,49516.86935346402,6.000060141393644,decision_tree,32,0.1902954018960372,0.1902954018960372,0.0,0.1158257880488166,0.04569088790980901,0.11298183155341351,0.12923749618935218,0.013411708140535581
R_x0.015625,12.089079431998051,-5.999939858606356,logistic_regression,8,-0.2507351185486187,0.25073511854861863,0.0,4.3055845668580215,0.8013342372050984,4.31222866171587,4.853594243953959,0.5480096770959381
R_x0.0625,48.356317727992206,-3.999939858606356,logistic_regression,8,-0.16501040363800712,0.16501040363800712,0.0,0.9192594628138577,0.18748240834748522,0.9179024366602848,1.3172692996248534,0.3980098368109957
R_x0.25,193.4252709119688,-1.999939858606356,logistic_regression,8,-0.10657161384006031,0.10657161384006031,0.0,0.12556153997550623,0.034276587263407376,0.12494236115920665,0.433188063542577,0.30762652356707076
val_class_ratio,773.6688311688312,0.0,logistic_regression,8,0.0,0.0,1.0,0.0,0.0,0.0,0.21217082579858762,0.21217082579858762
R_x1,773.7010836478753,6.014139364405448e-05,logistic_regression,8,0.0,0.0,1.0,0.0,0.0,0.0,0.2121677545220078,0.2121677545220078
R_x4,3094.804334591501,2.000060141393644,logistic_regression,8,0.21977404724020744,0.21977404724020744,0.0,0.04896784843969898,0.020885912796304897,0.04776385589410036,0.15691267726686556,0.10794482882716659
R_x16,12379.217338366005,4.000060141393644,logistic_regression,8,0.2587451919262094,0.2587451919262093,0.0,0.11049691442232358,0.02242346685294706,0.10765207121366133,0.14309890795307997,0.0326019935307564
R_x64,49516.86935346402,6.000060141393644,logistic_regression,8,0.26514320363185107,0.265143203631851,0.0,0.13053766561309957,0.02580410809067319,0.12556336999805337,0.1396454656246336,0.009107800011534025
R_x0.015625,12.089079431998051,-5.999939858606356,random_forest,32,-0.23727136626075665,0.23727136626075662,0.0,2.3121702850862906,0.5400150026823455,2.3041767787498677,2.5661962854417455,0.254026000355455
R_x0.0625,48.356317727992206,-3.999939858606356,random_forest,32,-0.16473615009272183,0.16473615009272183,0.0,0.4886090957008237,0.12544852848706237,0.48651996157667415,0.7068582738766701,0.21824917817584635
R_x0.25,193.4252709119688,-1.999939858606356,random_forest,32,-0.055701359027807484,0.055701359027807484,0.0,0.05850628959580066,0.026471531428038715,0.06114336915827938,0.24202377098540126,0.18351748138960058
val_class_ratio,773.6688311688312,0.0,random_forest,32,0.0,0.0,1.0,0.0,0.0,0.0,0.12581676008627213,0.12581676008627213
R_x1,773.7010836478753,6.014139364405448e-05,random_forest,32,0.0,0.0,1.0,0.0,0.0,0.0,0.12581514526258403,0.12581514526258403
R_x4,3094.804334591501,2.000060141393644,random_forest,32,0.042702920938609175,0.04270292093860917,0.0,0.023434690248917305,0.010803203986434718,0.02084498312789372,0.09676298883187973,0.07332829858296243
R_x16,12379.217338366005,4.000060141393644,random_forest,32,0.08712790546144333,0.08712790546144333,0.0,0.0654019419063668,0.0166039138043788,0.05939565406790799,0.08949994972420365,0.024098007817836848
R_x64,49516.86935346402,6.000060141393644,random_forest,32,0.08979075833605064,0.08979075833605064,0.0,0.08056811261497142,0.01684128975811832,0.0748041745361229,0.08768418994728462,0.0071160773323132
R_x0.015625,12.089079431998051,-5.999939858606356,xgboost,32,-0.336490259060156,0.33649025906015595,0.0,1.6627978538617632,0.5487909501199614,1.6600448093885278,1.8851420356073556,0.22234418174559253
R_x0.0625,48.356317727992206,-3.999939858606356,xgboost,32,-0.26458508983159845,0.26458508983159845,0.0,0.351614382105954,0.13090085518624245,0.3532072383087615,0.5422828709148259,0.1906684888088719
R_x0.25,193.4252709119688,-1.999939858606356,xgboost,32,-0.16107684087000965,0.16107684087000967,0.0,0.04716636883373317,0.026342247726106004,0.049638575722772645,0.20656807974169344,0.15940171090796026
val_class_ratio,773.6688311688312,0.0,xgboost,32,0.0,0.0,1.0,0.0,0.0,0.0,0.1226405482133796,0.1226405482133796
R_x1,773.7010836478753,6.014139364405448e-05,xgboost,32,0.0,0.0,1.0,0.0,0.0,0.0,0.12263938194841031,0.12263938194841031
