cell_id,learner,csl_variant,split_seed,model_seed,R_level,R_eval,threshold_B,threshold_C,threshold_gap,rules_agree,test_ner_B,test_ner_C,delta_ner_test
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,val_class_ratio,773.6688311688312,0.0039267013780772,0.0039267013780772,0.0,True,0.1526784726457394,0.1526784726457394,0.0
decision_tree__unweighted__split42__model42,decision_tree,unweighted,42,42,R_x1,773.7010836478753,0.0039267013780772,0.0039267013780772,0.0,True,0.1526775218578796,0.1526775218578796,0.0
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,val_class_ratio,773.6688311688312,0.0039267013780772,0.0039267013780772,0.0,True,0.1526784726457394,0.1526784726457394,0.0
decision_tree__unweighted__split42__model123,decision_tree,unweighted,42,123,R_x1,773.7010836478753,0.0039267013780772,0.0039267013780772,0.0,True,0.1526775218578796,0.1526775218578796,0.0
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,val_class_ratio,773.6688311688312,0.0039267013780772,0.0039267013780772,0.0,True,0.1526784726457394,0.1526784726457394,0.0
decision_tree__unweighted__split42__model456,decision_tree,unweighted,42,456,R_x1,773.7010836478753,0.0039267013780772,0.0039267013780772,0.0,True,0.1526775218578796,0.1526775218578796,0.0
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,val_class_ratio,773.6688311688312,0.0039267013780772,0.0039267013780772,0.0,True,0.1526784726457394,0.1526784726457394,0.0
decision_tree__unweighted__split42__model789,decision_tree,unweighted,42,789,R_x1,773.7010836478753,0.0039267013780772,0.0039267013780772,0.0,True,0.1526775218578796,0.1526775218578796,0.0
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,val_class_ratio,773.6688311688312,0.0151061173528432,0.0151061173528432,0.0,True,0.1831247039921344,0.1831247039921344,0.0
decision_tree__unweighted__split123__model42,decision_tree,unweighted,123,42,R_x1,773.7010836478753,0.0151061173528432,0.0151061173528432,0.0,True,0.1831245141844384,0.1831245141844384,0.0
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,val_class_ratio,773.6688311688312,0.0151061173528432,0.0151061173528432,0.0,True,0.1831236548503324,0.1831236548503324,0.0
decision_tree__unweighted__split123__model123,decision_tree,unweighted,123,123,R_x1,773.7010836478753,0.0151061173528432,0.0151061173528432,0.0,True,0.1831234650863708,0.1831234650863708,0.0
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,val_class_ratio,773.6688311688312,0.0151061173528432,0.0151061173528432,0.0,True,0.1831236548503324,0.1831236548503324,0.0
decision_tree__unweighted__split123__model456,decision_tree,unweighted,123,456,R_x1,773.7010836478753,0.0151061173528432,0.0151061173528432,0.0,True,0.1831234650863708,0.1831234650863708,0.0
decision_tree__unweighted__split123__model789,decision_tree,unweighted,123,789,val_class_ratio,773.6688311688312,0.0151061173528432,0.0151061173528432,0.0,True,0.1831173599995203,0.1831173599995203,0.0
decision_tree__unweighted__split123__model789,decision_tree,unweighted,123,789,R_x1,773.7010836478753,0.0151061173528432,0.0151061173528432,0.0,True,0.1831171704979658,0.1831171704979658,0.0
decision_tree__unweighted__split456__model42,decision_tree,unweighted,456,42,val_class_ratio,773.6688311688312,0.0140526974573731,0.0140526974573731,0.0,True,0.1930517109731511,0.1930517109731511,0.0
decision_tree__unweighted__split456__model42,decision_tree,unweighted,456,42,R_x1,773.7010836478753,0.0140526974573731,0.0140526974573731,0.0,True,0.1930515133807155,0.1930515133807155,0.0
decision_tree__unweighted__split456__model123,decision_tree,unweighted,456,123,val_class_ratio,773.6688311688312,0.0140526974573731,0.0140526974573731,0.0,True,0.1930506618313492,0.1930506618313492,0.0
decision_tree__unweighted__split456__model123,decision_tree,unweighted,456,123,R_x1,773.7010836478753,0.0140526974573731,0.0140526974573731,0.0,True,0.193050464282648,0.193050464282648,0.0
decision_tree__unweighted__split456__model456,decision_tree,unweighted,456,456,val_class_ratio,773.6688311688312,0.0140526974573731,0.0140526974573731,0.0,True,0.1930517109731511,0.1930517109731511,0.0
decision_tree__unweighted__split456__model456,decision_tree,unweighted,456,456,R_x1,773.7010836478753,0.0140526974573731,0.0140526974573731,0.0,True,0.1930515133807155,0.1930515133807155,0.0
